Full Name,Year,Nationality,Gender,Type of Death,Status,Job,Employed as,Organizations,Coverage,Medium,Local or Foreign?,Source of Fire,Motive Confirmed,tortured,captive,threatened,photoUrl,photoCredit
Ando Ratovonirina,2009,Madagascar,Male,Dangerous Assignment,Confirmed,"Broadcast Reporter,Camera Operator",Staff,Radio Télévision Analamanga,Politics,Television,Local,Military Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Ratovonirina.Madagascar.2009.jpg,Photo by Mirindra Rabarivelo
Andres Teodoro,2009,Philippines,Male,Murder,Confirmed,Editor,Staff,Central Mindanao Inquirer,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Anil Mazumdar,2009,India,Male,Murder,Confirmed,Editor,Staff,Aji,"Business,Corruption,Crime,Culture,Human Rights,Politics,War",Print,Local,Political Group,Confirmed,No,No,No,,
Arturo Betia,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Periodico Ini,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Basil Ibrahim Faraj,2009,Israel and the Occupied Palestinian Territory,Male,Crossfire,Confirmed,Camera Operator,Staff,Palestinian Media and Communication Company,"Politics,War",Television,Local,Military Officials,Confirmed,,,,,
Bayo Ohu,2009,Nigeria,Male,Murder,Confirmed,"Editor,Print Reporter",Staff,The Guardian,Politics,Print,Local,,Confirmed,No,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/Bayo%252520Ohu%252520%252528AFP%252529.JPG,AFP
Bienvenido Legarte Jr.,2009,Philippines,Male,Murder,Confirmed,"Print Reporter,Publisher/Owner",Staff,Prontiera News,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Bladimir Antuna García,2009,Mexico,Male,Murder,Confirmed,Print Reporter,Staff,El Tiempo de Durango,"Corruption,Crime",Print,Local,Criminal Group,Confirmed,No,Yes,Yes,,
Chief Ebrima Manneh,2009,Gambia,Male,Unknown,Confirmed,Print Reporter,Staff,Daily Observer,Politics,Print,Local,"Government Officials,Military Officials",Confirmed,,,,,
Christian Gregorio Poveda Ruiz,2009,,Male,Murder,Confirmed,"Producer,Documentary Filmmaker",Freelance,Freelance,Crime,Television,Foreign,Criminal Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/Poveda.1Salvador.2009.afp.jpg,AFP
Cihan Hayırsevener,2009,Turkey,Male,Murder,Confirmed,"Editor,Publisher/Owner",Staff,Güney Marmara’da Yaşam,Corruption,Print,Local,Criminal Group,Confirmed,No,No,Yes,,
Crispin Perez,2009,Philippines,Male,Murder,Confirmed,Columnist/Commentator,Staff,DWDO Radio,Corruption,Radio,Local,Government Officials,Confirmed,No,No,No,,
Eliseo Barrón Hernández,2009,Mexico,Male,Murder,Confirmed,"Photographer,Print Reporter",Staff,La Opinión,Crime,Print,Local,Criminal Group,Confirmed,Yes,Yes,No,,
Ernesto Maravilla,2009,Philippines,Male,Murder,Confirmed,Broadcast Reporter,Staff,Bombo Radyo,Politics,Radio,Local,Government Officials,Confirmed,Yes,Yes,No,,
Ernie Rollin,2009,Philippines,Male,Murder,Confirmed,Columnist/Commentator,Staff,DXSY Radio,Politics,Radio,Local,,Confirmed,No,No,No,,
Fernando Razon,2009,Philippines,Male,Murder,Confirmed,,Staff,Periodico Ini,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Francis Nyaruri,2009,Kenya,Male,Murder,Confirmed,Print Reporter,Staff,Weekly Citizen,Corruption,Radio,Local,Government Officials,Confirmed,Yes,Yes,Yes,,
Gennady Pavlyuk (Ibragim Rustambek),2009,,Male,Murder,Confirmed,Editor,Staff,Bely Parokhod,Corruption,Print,Foreign,Government Officials,Confirmed,No,No,No,,
Gina Dela Cruz,2009,Philippines,Female,Murder,Confirmed,Print Reporter,Freelance,Saksi News,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Haidar Hashim Suhail,2009,Iraq,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Al-Baghdadia TV,"Politics,War",Television,Local,Political Group,Confirmed,,,,,
Hannibal Cachuela,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Punto News,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Hassan Mayow Hassan,2009,Somalia,Male,Murder,Confirmed,Broadcast Reporter,Staff,Radio Shabelle,"Human Rights,War",Radio,Local,Military Officials,Confirmed,No,No,Yes,,
Hassan Zubeyr,2009,Somalia,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Arabiya,"Culture,War",Television,Local,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Zubeyr.Shabelle.jpg,Radio Shabelle
Henry Araneta,2009,Philippines,Male,Murder,Confirmed,Broadcast Reporter,Staff,DZRH,Politics,Radio,Local,Government Officials,Confirmed,Yes,Yes,No,,
Ian Subang,2009,Philippines,Male,Murder,Confirmed,Publisher/Owner,Staff,Socsargen Today,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Janullah Hashimzada,2009,,Male,Murder,Confirmed,Broadcast Reporter,Freelance,freelance,"Politics,War",Television,Foreign,Military Officials,Confirmed,No,No,Yes,,
Jepon Cadagdagon,2009,Philippines,Male,Murder,Confirmed,Photographer,Staff,Saksi News,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Jhoy Duhay,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Gold Star Daily,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Joel Parcon,2009,Philippines,Male,Murder,Confirmed,Publisher/Owner,Staff,Prontiera News,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
John Caniban,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Periodico Ini,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Jojo Trajano,2009,Philippines,Male,Dangerous Assignment,Confirmed,Print Reporter,Staff,Remate,Crime,Print,Local,Criminal Group,Confirmed,,,,,
Jolito Evardo,2009,Philippines,Male,Murder,Confirmed,Editor,Staff,UNTV,Politics,Television,Local,Government Officials,Confirmed,Yes,Yes,No,,
José Everardo Aguilar,2009,Colombia,Male,Murder,Confirmed,Broadcast Reporter,Staff,Radio Súper and Bolívar Estéreo,Corruption,Radio,Local,Paramilitary Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/jose_everardo_aguilar.jpg,
Lasantha Wickramatunga,2009,Sri Lanka,Male,Murder,Confirmed,Editor,Staff,The Sunday Leader,"Human Rights,Politics,War",Print,Local,Government Officials,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/lasantha_wickramatunga.jpg,Courtesy Wickrematunge family
Lea Dalmacio,2009,Philippines,Female,Murder,Confirmed,Print Reporter,Staff,Socsargen News,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Lindo Lupogan,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Mindanao Daily Gazette,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Marife “Neneng” Montaño,2009,Philippines,Female,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,Saksi News and DXCI,Politics,Radio,Local,Government Officials,Confirmed,Yes,Yes,No,,
Marites Cablitas,2009,Philippines,Female,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,News Focus and DXDX,Politics,"Print,Radio",Local,Government Officials,Confirmed,Yes,Yes,No,,
Mark Gilbert Arriola,2009,Philippines,Male,Murder,Confirmed,Camera Operator,Staff,UNTV,Politics,Television,Local,Government Officials,Confirmed,Yes,Yes,No,,
Michelle Lang,2009,,Female,Crossfire,Confirmed,Print Reporter,Staff,Calgary Herald and Canwest News Service,War,Print,Foreign,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Afghan.Lang.2.rtr.jpg,Reuters
Mohamed Amin,2009,Somalia,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Radio Shabelle,"Culture,War",Radio,Local,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Amin.Somalia.NUSOJ1.jpg,NUSOJ
Mohammad Imran,2009,Pakistan,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,Express TV,War,Television,Local,Political Group,Confirmed,,,,,
Mohamud Mohamed Yusuf,2009,Somalia,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Radio IQK,Politics,Radio,Local,Political Group,Confirmed,,,,,
Mukhtar Mohamed Hirabe,2009,Somalia,Male,Murder,Confirmed,Editor,Staff,Radio Shabelle,Politics,Radio,Local,Political Group,Confirmed,No,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/mukhtar_mohamed_hirabe.jpg,(NUSOJ)
Musa Khankhel,2009,Pakistan,Male,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,Geo TV and The News,"Politics,War","Print,Television",Local,Military Officials,Confirmed,Yes,Yes,No,,
Napoleon Salaysay,2009,Philippines,Male,Murder,Confirmed,,Staff,Mindanao Gazette,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Natalya Estemirova,2009,Russia,Female,Murder,Confirmed,Print Reporter,Freelance,"Novaya Gazeta, Kavkazsky Uzel",Human Rights,Print,Local,Government Officials,Confirmed,No,Yes,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/Estemirova.Russia.ap.2009.jpg,AP
Noel Decina,2009,Philippines,Male,Murder,Confirmed,,Staff,Periodico Ini,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Norberto Miranda Madrid,2009,Mexico,Male,Murder,Confirmed,Internet Reporter,Staff,Radio Visión,"Corruption,Crime",Internet,Local,Criminal Group,Confirmed,No,No,Yes,,
Novruzali Mamedov,2009,Azerbaijan,Male,Dangerous Assignment,Confirmed,Editor,Staff,Talyshi Sado,Culture,Print,Local,Government Officials,Confirmed,,,,,
Nur Muse Hussein,2009,Somalia,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Radio IQK,"Politics,War",Radio,Local,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/nur_muse_hussein.jpg,NUSOJ
Omidreza Mirsayafi,2009,Iran,Male,Dangerous Assignment,Confirmed,Internet Reporter,Freelance,Rooznegar,"Culture,Politics",Internet,Local,Government Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Iran.1.Mirsayafi.2009.jpg,AP
Orel Sambrano,2009,Venezuela,Male,Murder,Confirmed,Columnist/Commentator,Staff,ABC de la Semana and Radio América,"Corruption,Crime","Print,Radio",Local,Government Officials,Confirmed,No,No,No,,
Orhan Hijran,2009,Iraq,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Rasheed,Culture,Television,Local,Political Group,Confirmed,,,,,
Puniyamoorthy Sathiyamoorthy,2009,Sri Lanka,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Freelance,freelance,"Politics,War","Radio,Television",Local,Government Officials,Confirmed,,,,,
Rey Merisco,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Periodico Ini,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Reynaldo Momay,2009,Philippines,Male,Murder,Confirmed,Photographer,Staff,Midland Review,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Romeo Jimmy Cabillo,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Midland Review,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Ronnie Perante,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Gold Star Daily,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Rosell Morales,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,News Focus,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Rubello Bataluna,2009,Philippines,Male,Murder,Confirmed,Print Reporter,Staff,Gold Star Daily,Politics,Print,Local,Government Officials,Confirmed,Yes,Yes,No,,
Said Tahlil Ahmed,2009,Somalia,Male,Murder,Confirmed,Publisher/Owner,Staff,HornAfrik,"Human Rights,War",Radio,Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/said_tahlil.jpg,Garowe Online
Santos Gatchalian,2009,Philippines,Male,Murder,Confirmed,Broadcast Reporter,Staff,DXGO,Politics,Radio,Local,Government Officials,Confirmed,Yes,Yes,No,,
Shoba,2009,Sri Lanka,Female,Crossfire,Confirmed,Broadcast Reporter,Staff,O'liveechchu,War,"Television,Internet",Local,Military Officials,Confirmed,,,,,
Suhaib Adnan,2009,Iraq,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Baghdadia TV,"Politics,War",Television,Local,Political Group,Confirmed,,,,,
Sultan Mohammed Munadi,2009,Afghanistan,Male,Dangerous Assignment,Confirmed,Print Reporter,Freelance,The New York Times,"Human Rights,War",Print,Local,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Munadi.Afghanistan.2009.1ap.jpg,AP
Tahir Awan,2009,Pakistan,Male,Dangerous Assignment,Confirmed,Print Reporter,Freelance,freelance,War,Print,Local,Political Group,Confirmed,,,,,
Uma Singh,2009,Nepal,Female,Murder,Confirmed,Broadcast Reporter,Staff,"Janakpur Today, Radio Today","Human Rights,Politics","Print,Radio",Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/uma_singh_small.jpg,A protester holds a photo of Uma Singh. (Reuters)
Victor Nuñez,2009,Philippines,Male,Murder,Confirmed,Broadcast Reporter,Staff,UNTV,Politics,Television,Local,Government Officials,Confirmed,Yes,Yes,No,,
Abdul Aziz Shaheen,2008,Pakistan,Male,Crossfire,Confirmed,Print Reporter,Staff,Azadi,"Politics,War",Print,Local,Military Officials,Confirmed,,,,,
Abdul Razzak Johra,2008,Pakistan,Male,Murder,Confirmed,Broadcast Reporter,Staff,Royal TV,Crime,Television,Local,Criminal Group,Confirmed,No,No,No,,
Abdul Samad Rohani,2008,Afghanistan,Male,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,BBC and Pajhwok Afghan News,Crime,"Print,Radio",Local,Criminal Group,Confirmed,No,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/rohani_afghanistan_2008.jpg,
Ahmed Salim,2008,Iraq,Male,Murder,Confirmed,Camera Operator,Staff,Al-Sharqiya,Culture,Television,Local,Political Group,Confirmed,No,Yes,No,,
Alaa Abdul-Karim al-Fartoosi,2008,Iraq,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Forat,War,Television,Local,Political Group,Confirmed,,,,,
Alejandro Zenón Fonseca Estrada,2008,Mexico,Male,Murder,Confirmed,Columnist/Commentator,Staff,EXA FM,Crime,Radio,Local,Criminal Group,Confirmed,No,No,No,,
Alexander Klimchuk,2008,Georgia,Male,Crossfire,Confirmed,"Photographer,Print Reporter",Freelance,Caucasus Images,War,"Print,Internet",Local,Military Officials,Confirmed,,,,,
Ashok Sodhi,2008,India,Male,Dangerous Assignment,Confirmed,Photographer,Staff,Daily Excelsior,,Print,Local,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/ashok_sodhi_india_2008.jpg,
Athiwat Chaiyanurat,2008,Thailand,Male,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,"Matichon, Channel 7",Corruption,"Print,Television",Local,Government Officials,Confirmed,No,No,Yes,,
Carlos Quispe Quispe,2008,Bolivia,Male,Murder,Confirmed,Broadcast Reporter,Staff,Radio Municipal,Politics,Radio,Local,Mob Violence,Confirmed,No,No,No,,
Carsten Thomassen,2008,,Male,Dangerous Assignment,Confirmed,Print Reporter,Staff,Dagbladet,"Politics,War",Print,Foreign,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/carsten_thomassen_afghanistan_2008.jpg,
Chalee Boonsawat,2008,Thailand,Male,Dangerous Assignment,Confirmed,Print Reporter,Staff,Thai Rath,War,Print,Local,Political Group,Confirmed,,,,,
Chishti Mujahid,2008,Pakistan,Male,Murder,Confirmed,"Columnist/Commentator,Photographer",Staff,Akbar-e-Jehan,"Corruption,Politics,War",Print,Local,Political Group,Confirmed,No,No,Yes,,
Dennis Cuesta,2008,Philippines,Male,Murder,Confirmed,Columnist/Commentator,Staff,DXMD,Politics,Radio,Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/dennis_cuesta_philippines_2008.jpg,
Fadel Shana,2008,Israel and the Occupied Palestinian Territory,Male,Crossfire,Confirmed,Camera Operator,Staff,Reuters,War,Television,Local,Military Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/shana_israel_2008.jpg,
Grigol Chikhladze,2008,Georgia,Male,Crossfire,Confirmed,Print Reporter,Freelance,Caucasus Images,War,"Print,Internet",Local,Military Officials,Confirmed,,,,,
Haidar al-Hussein,2008,Iraq,Male,Murder,Confirmed,Print Reporter,Staff,Al-Sharq,"Politics,War",Print,Local,Political Group,Confirmed,Yes,Yes,Yes,,
Hassan Kafi Hared,2008,Somalia,Male,Dangerous Assignment,Confirmed,"Internet Reporter,Print Reporter",Staff,Somali National News Agency,"Politics,War","Print,Internet",Local,,Confirmed,,,,,
Ihab Mu'd,2008,Iraq,Male,Murder,Confirmed,Camera Operator,Staff,Al-Sharqiya,Culture,Television,Local,Political Group,Confirmed,No,Yes,No,,
Ivo Pukanic,2008,Croatia,Male,Murder,Confirmed,Publisher/Owner,Staff,Nacional,"Corruption,Crime,Politics",Print,Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/ivo_pukanic_croatia_2008.jpg,
Jaruek Rangcharoen,2008,Thailand,Male,Murder,Confirmed,Print Reporter,Staff,Matichon,Corruption,Print,Local,Political Group,Confirmed,No,No,No,,
Jassim al-Batat,2008,Iraq,Male,Murder,Confirmed,Broadcast Reporter,Staff,Al-Nakhil TV and Radio,"Politics,War","Radio,Television",Local,Political Group,Confirmed,No,No,Yes,,
Javed Ahmed Mir,2008,India,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,Channel 9,Politics,Television,Local,Paramilitary Group,Confirmed,,,,,
José Armando Rodríguez Carreón,2008,Mexico,Male,Murder,Confirmed,Print Reporter,Staff,El Diario de Ciudad Juárez,Crime,Print,Local,Criminal Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/Mexico.Rodriguez.1rtr.jpg,AP
Khem Sambo,2008,Cambodia,Male,Murder,Confirmed,Print Reporter,Staff,Moneaseka Khmer,Politics,Print,Local,Government Officials,Confirmed,No,No,No,,
Magomed Yevloyev,2008,Russia,Male,Murder,Confirmed,Publisher/Owner,Staff,Ingushetiya,"Corruption,Human Rights,Politics,War",Internet,Local,Government Officials,Confirmed,No,Yes,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/magomed_yevloyev_russia_2008.jpg,
Martin Roxas,2008,Philippines,Male,Murder,Confirmed,Columnist/Commentator,Staff,DYVR,Politics,Radio,Local,Government Officials,Confirmed,No,No,Yes,,
Mohammed Ibrahim,2008,Pakistan,Male,Murder,Confirmed,Broadcast Reporter,Staff,Express TV and Daily Express,Politics,Television,Local,,Confirmed,No,No,No,,
Mohammed Muslimuddin,2008,India,Male,Murder,Confirmed,Print Reporter,Staff,Asomiya Pratidin,Crime,Print,Local,Criminal Group,Confirmed,No,No,No,,
Mohieldin Al Naqeeb,2008,Iraq,Male,Murder,Confirmed,Broadcast Reporter,Staff,Al-Iraqiya,"Politics,War",Television,Local,Political Group,Confirmed,No,No,Yes,,
Musab Mahmood al-Ezawi,2008,Iraq,Male,Murder,Confirmed,Broadcast Reporter,Staff,Al-Sharqiya,Culture,Television,Local,Political Group,Confirmed,No,Yes,No,,
Nasteh Dahir Farah,2008,Somalia,Male,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Freelance,freelance,Politics,"Print,Radio",Local,,Confirmed,No,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/farah_somalia_2008.jpg,
Paranirupasingham Devakumar,2008,Sri Lanka,Male,Murder,Confirmed,Broadcast Reporter,Staff,News 1st,"Politics,War",Television,Local,Political Group,Confirmed,No,No,Yes,,
Rashmi Mohamed,2008,Sri Lanka,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,Sirasa TV,"Politics,War",Television,Local,Political Group,Confirmed,,,,,
Sarwa Abdul-Wahab,2008,Iraq,Female,Murder,Confirmed,Internet Reporter,Freelance,freelance,"Politics,War",Internet,Local,,Confirmed,No,No,Yes,,
Shihab al-Tamimi,2008,Iraq,Male,Murder,Confirmed,Editor,Staff,Iraqi Journalists Syndicate,"Politics,War","Print,Radio,Television",Local,Political Group,Confirmed,No,No,Yes,,
Siraj Uddin,2008,Pakistan,Male,Dangerous Assignment,Confirmed,Print Reporter,Staff,The Nation,,Print,Local,,Confirmed,,,,,
Soran Mama Hama,2008,Iraq,Male,Murder,Confirmed,Print Reporter,Staff,Livin,"Corruption,Crime,Human Rights",Print,Local,Government Officials,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/soran_mama_hama_iraq_2008.jpg,
Stan Storimans,2008,,Male,Crossfire,Confirmed,Camera Operator,Staff,RTL Nieuws,War,Television,Foreign,Military Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/Stan.Storimans.2.Georgia.2008.1.jpg,AFP
Telman (Abdulla) Alishayev,2008,Russia,Male,Murder,Confirmed,Columnist/Commentator,Staff,TV-Chirkei,Culture,Television,Local,Political Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/telman_%2528abdulla%2529_alishayev_russia_2008.jpg,
Vikas Ranjan,2008,India,Male,Murder,Confirmed,Print Reporter,Staff,Hindustan,Corruption,Print,Local,,Confirmed,No,No,Yes,,
Wissam Ali Ouda,2008,Iraq,Male,Crossfire,Confirmed,Camera Operator,Staff,Al-Afaq,War,Television,Local,Military Officials,Confirmed,,,,,
Abdulkadir Mahad Moallim Kaskey,2007,Somalia,Male,Crossfire,Confirmed,Broadcast Reporter,Freelance,Radio Banadir,Politics,Radio,Local,Political Group,Confirmed,,,,,
Abdulrazak Hashim Ayal al-Khakani,2007,Iraq,Male,Murder,Confirmed,"Broadcast Reporter,Editor",Staff,Jumhuriyat al-Iraq,Politics,Radio,Local,Political Group,Confirmed,Yes,Yes,No,,
Abshir Ali Gabre,2007,Somalia,Male,Crossfire,Confirmed,Editor,Staff,Radio Jowhar,Politics,Radio,Local,Political Group,Confirmed,,,,,
Adnan al-Safi,2007,Iraq,Male,Murder,Confirmed,Broadcast Reporter,Staff,Al-Anwar,"Culture,Politics",Television,Local,Political Group,Confirmed,No,No,No,,
Ahmed Hadi Naji,2007,Iraq,Male,Murder,Confirmed,Camera Operator,Freelance,Associated Press Television News,War,Television,Local,Political Group,Confirmed,No,Yes,No,https://cpj-photos.s3-us-west-2.amazonaws.com/ahmed_hadi_naji_iraq_2007.jpg,
Ahmed Hassan Mahad,2007,Somalia,Male,Crossfire,Confirmed,Broadcast Reporter,Staff,Radio Jowhar,Politics,Radio,Local,Political Group,Confirmed,,,,,
Ajmal Naqshbandi,2007,Afghanistan,Male,Murder,Confirmed,Print Reporter,Freelance,freelance,War,Print,Local,Political Group,Confirmed,No,Yes,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/Naqshbandi.2007.afghan.jpg,Photo Teru Kuwayama
Alaa Uldeen Aziz,2007,Iraq,Male,Murder,Confirmed,Camera Operator,Staff,ABC News,War,Television,Local,Political Group,Confirmed,No,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/alaa_uldeen_aziz_iraq_2007.jpg,
Ali Sharmarke,2007,Somalia,Male,Murder,Confirmed,Publisher/Owner,Staff,HornAfrik,War,Radio,Local,Political Group,Confirmed,No,No,No,https://cpj-photos.s3-us-west-2.amazonaws.com/ali_sharmarke_somalia_2007.jpg,
Alisher Saipov,2007,Kyrgyzstan,Male,Murder,Confirmed,"Broadcast Reporter,Editor,Internet Reporter,Print Reporter",Staff,Siyosat,"Human Rights,Politics","Print,Radio,Internet",Local,Government Officials,Confirmed,No,No,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Saipov_10-03-2019.jpg_6ff84e09-2664-4e37-b806-c2cdc5befa1b.jpeg,Photo provided to CPJ by Saipov family
Amado Ramírez Dillanes,2007,Mexico,Male,Murder,Confirmed,Broadcast Reporter,Staff,Televisa and Radiorama,"Crime,Culture,Politics","Radio,Television",Local,Criminal Group,Confirmed,No,No,Yes,,
Amer Malallah al-Rashidi,2007,Iraq,Male,Murder,Confirmed,Camera Operator,Staff,Al-Mosuliya,War,Television,Local,Political Group,Confirmed,No,No,No,,
Aref Ali Filaih,2007,Iraq,Male,Crossfire,Confirmed,Print Reporter,Freelance,Aswat al-Iraq,War,Print,Local,Political Group,Confirmed,,,,,
Bashiir Noor Gedi,2007,Somalia,Male,Murder,Confirmed,"Editor,Producer",Staff,Radio Shabelle,War,Radio,Local,Political Group,Confirmed,No,No,Yes,,
Birendra Shah,2007,Nepal,Male,Murder,Confirmed,"Broadcast Reporter,Print Reporter",Staff,"Nepal FM, Dristi Weekly, and Avenues TV",Crime,"Print,Radio,Television",Local,Political Group,Confirmed,No,Yes,Yes,,
Carlos Salgado,2007,Honduras,Male,Murder,Confirmed,Columnist/Commentator,Staff,Radio Cadena Voces,Corruption,Radio,Local,Criminal Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/carlos_salgado_honduras_2007.jpg,
Chauncey Bailey,2007,USA,Male,Murder,Confirmed,Editor,Staff,Oakland Post,"Business,Corruption,Crime,Culture,Politics",Print,Local,Criminal Group,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/chauncey_bailey_us_2007.jpg,
Dmitry Chebotayev,2007,,Male,Crossfire,Confirmed,Photographer,Freelance,freelance,War,Print,Foreign,Political Group,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/dmitry_chebotayev_iraq_2007.jpg,
Edward Chikomba,2007,Zimbabwe,Male,Murder,Confirmed,Camera Operator,Freelance,Zimbabwe Broadcasting Corporation (former),Politics,Television,Local,Government Officials,Confirmed,No,Yes,Yes,,
Falah Khalaf al-Diyali,2007,Iraq,Male,Murder,Confirmed,Photographer,Staff,Al-Sa'a,War,Print,Local,Political Group,Confirmed,No,No,No,,
"Fesshaye ""Joshua"" Yohannes",2007,Eritrea,Male,Dangerous Assignment,Confirmed,Editor,Staff,Setit,Politics,Print,Local,Government Officials,Confirmed,,,,https://cpj-photos.s3-us-west-2.amazonaws.com/fesshaye_joshua_yohannes_eritrea_2007.jpg,
Filaih Wuday Mijthab,2007,Iraq,Male,Murder,Confirmed,Editor,Staff,Al-Sabah,Politics,Print,Local,Political Group,Confirmed,No,Yes,Yes,,
Hamid Abed Sarhan,2007,Iraq,Male,Murder,Confirmed,"Editor,Print Reporter",Freelance,freelance,Politics,Print,Local,Political Group,Confirmed,No,No,No,,
Hamid al-Duleimi,2007,Iraq,Male,Murder,Confirmed,Producer,Staff,Nahrain,Politics,Television,Local,Political Group,Confirmed,Yes,Yes,No,,
Hrant Dink,2007,Turkey,Male,Murder,Confirmed,Editor,Staff,Agos,"Human Rights,Politics",Print,Local,Local Residents,Confirmed,No,No,Yes,https://cpj-photos.s3-us-west-2.amazonaws.com/hrant_dink_turkey_2007.jpg,
Hussein al-Zubaidi,2007,Iraq,Male,Murder,Confirmed,Editor,Staff,Al-Ahali,"Politics,War",Print,Local,Political Group,Confirmed,No,Yes,No,,
